"Step","loss","clear-voice-1 - 5_total/train_gop_loss__MIN","clear-voice-1 - 5_total/train_gop_loss__MAX"
"501","0.5942171216011047","0.5942171216011047","0.5942171216011047"
"502","0.538388729095459","0.538388729095459","0.538388729095459"
"503","0.5412591099739075","0.5412591099739075","0.5412591099739075"
"504","0.5106307864189148","0.5106307864189148","0.5106307864189148"
"505","0.4178254306316376","0.4178254306316376","0.4178254306316376"
"512","0.403294175863266","0.403294175863266","0.403294175863266"
"513","0.36872079968452454","0.36872079968452454","0.36872079968452454"
"514","0.3404492139816284","0.3404492139816284","0.3404492139816284"
"515","0.3147873282432556","0.3147873282432556","0.3147873282432556"
"516","0.2720101773738861","0.2720101773738861","0.2720101773738861"
"523","0.287580668926239","0.287580668926239","0.287580668926239"
"524","0.24932484328746796","0.24932484328746796","0.24932484328746796"
"525","0.3011939525604248","0.3011939525604248","0.3011939525604248"
"526","0.2162122130393982","0.2162122130393982","0.2162122130393982"
"527","0.2351796180009842","0.2351796180009842","0.2351796180009842"
"534","0.31919991970062256","0.31919991970062256","0.31919991970062256"
"535","0.21581199765205383","0.21581199765205383","0.21581199765205383"
"536","0.19137383997440338","0.19137383997440338","0.19137383997440338"
"537","0.24862802028656006","0.24862802028656006","0.24862802028656006"
"538","0.2182379513978958","0.2182379513978958","0.2182379513978958"
"545","0.20364239811897278","0.20364239811897278","0.20364239811897278"
"546","0.2799842953681946","0.2799842953681946","0.2799842953681946"
"547","0.21133297681808472","0.21133297681808472","0.21133297681808472"
"548","0.18580123782157898","0.18580123782157898","0.18580123782157898"
"549","0.22810038924217224","0.22810038924217224","0.22810038924217224"
"556","0.19752608239650726","0.19752608239650726","0.19752608239650726"
"557","0.19215109944343567","0.19215109944343567","0.19215109944343567"
"558","0.14988264441490173","0.14988264441490173","0.14988264441490173"
"559","0.1959034502506256","0.1959034502506256","0.1959034502506256"
"560","0.22649553418159485","0.22649553418159485","0.22649553418159485"
"567","0.1519152671098709","0.1519152671098709","0.1519152671098709"
"568","0.1943071335554123","0.1943071335554123","0.1943071335554123"
"569","0.1595182716846466","0.1595182716846466","0.1595182716846466"
"570","0.16529062390327454","0.16529062390327454","0.16529062390327454"
"571","0.20665918290615082","0.20665918290615082","0.20665918290615082"
"578","0.1789109855890274","0.1789109855890274","0.1789109855890274"
"579","0.17526395618915558","0.17526395618915558","0.17526395618915558"
"580","0.13874439895153046","0.13874439895153046","0.13874439895153046"
"581","0.12301445752382278","0.12301445752382278","0.12301445752382278"
"582","0.1203719973564148","0.1203719973564148","0.1203719973564148"
"589","0.20730186998844147","0.20730186998844147","0.20730186998844147"
"590","0.1886153519153595","0.1886153519153595","0.1886153519153595"
"591","0.1650702804327011","0.1650702804327011","0.1650702804327011"
"592","0.1405278742313385","0.1405278742313385","0.1405278742313385"
"593","0.13708293437957764","0.13708293437957764","0.13708293437957764"
"600","0.1758173108100891","0.1758173108100891","0.1758173108100891"
"601","0.13491210341453552","0.13491210341453552","0.13491210341453552"
"602","0.13565793633460999","0.13565793633460999","0.13565793633460999"
"603","0.13419793546199799","0.13419793546199799","0.13419793546199799"
