"Step","loss","clear-voice-1 - 4_total_2frame/train_gop_loss__MIN","clear-voice-1 - 4_total_2frame/train_gop_loss__MAX"
"256","3.1696722507476807","3.1696722507476807","3.1696722507476807"
"257","3.074704647064209","3.074704647064209","3.074704647064209"
"258","3.0389416217803955","3.0389416217803955","3.0389416217803955"
"259","3.0466599464416504","3.0466599464416504","3.0466599464416504"
"260","2.9522972106933594","2.9522972106933594","2.9522972106933594"
"266","2.9063010215759277","2.9063010215759277","2.9063010215759277"
"267","2.8570330142974854","2.8570330142974854","2.8570330142974854"
"268","2.8458919525146484","2.8458919525146484","2.8458919525146484"
"269","2.8141682147979736","2.8141682147979736","2.8141682147979736"
"270","2.7389724254608154","2.7389724254608154","2.7389724254608154"
"276","2.7664456367492676","2.7664456367492676","2.7664456367492676"
"277","2.6976406574249268","2.6976406574249268","2.6976406574249268"
"278","2.6353073120117188","2.6353073120117188","2.6353073120117188"
"279","2.6138904094696045","2.6138904094696045","2.6138904094696045"
"280","2.60235595703125","2.60235595703125","2.60235595703125"
"286","2.53936505317688","2.53936505317688","2.53936505317688"
"287","2.5302696228027344","2.5302696228027344","2.5302696228027344"
"288","2.505260944366455","2.505260944366455","2.505260944366455"
"289","2.447256326675415","2.447256326675415","2.447256326675415"
"290","2.4122695922851562","2.4122695922851562","2.4122695922851562"
"296","2.3570616245269775","2.3570616245269775","2.3570616245269775"
"297","2.3414463996887207","2.3414463996887207","2.3414463996887207"
"298","2.320652484893799","2.320652484893799","2.320652484893799"
"299","2.2987399101257324","2.2987399101257324","2.2987399101257324"
"300","2.2665882110595703","2.2665882110595703","2.2665882110595703"
"306","2.237860679626465","2.237860679626465","2.237860679626465"
"307","2.1558573246002197","2.1558573246002197","2.1558573246002197"
"308","2.166860342025757","2.166860342025757","2.166860342025757"
"309","2.1113061904907227","2.1113061904907227","2.1113061904907227"
"310","2.0806257724761963","2.0806257724761963","2.0806257724761963"
"316","2.0784637928009033","2.0784637928009033","2.0784637928009033"
"317","1.9903699159622192","1.9903699159622192","1.9903699159622192"
"318","1.9827338457107544","1.9827338457107544","1.9827338457107544"
"319","1.949815034866333","1.949815034866333","1.949815034866333"
"320","1.9421050548553467","1.9421050548553467","1.9421050548553467"
"326","1.9384002685546875","1.9384002685546875","1.9384002685546875"
"327","1.8508681058883667","1.8508681058883667","1.8508681058883667"
"328","1.897037148475647","1.897037148475647","1.897037148475647"
"329","1.8063563108444214","1.8063563108444214","1.8063563108444214"
"330","1.7838493585586548","1.7838493585586548","1.7838493585586548"
"336","1.8481276035308838","1.8481276035308838","1.8481276035308838"
"337","1.712390422821045","1.712390422821045","1.712390422821045"
"338","1.6959526538848877","1.6959526538848877","1.6959526538848877"
"339","1.666091799736023","1.666091799736023","1.666091799736023"
"340","1.6636035442352295","1.6636035442352295","1.6636035442352295"
"346","1.6146396398544312","1.6146396398544312","1.6146396398544312"
"347","1.5880707502365112","1.5880707502365112","1.5880707502365112"
"348","1.60149347782135","1.60149347782135","1.60149347782135"
"349","1.5427215099334717","1.5427215099334717","1.5427215099334717"
"350","1.491823673248291","1.491823673248291","1.491823673248291"
"356","1.510971188545227","1.510971188545227","1.510971188545227"
"357","1.486121654510498","1.486121654510498","1.486121654510498"
"358","1.4520986080169678","1.4520986080169678","1.4520986080169678"
"359","1.406785249710083","1.406785249710083","1.406785249710083"
"360","1.455517053604126","1.455517053604126","1.455517053604126"
"366","1.3926596641540527","1.3926596641540527","1.3926596641540527"
"367","1.3480671644210815","1.3480671644210815","1.3480671644210815"
"368","1.3003461360931396","1.3003461360931396","1.3003461360931396"
"369","1.276370644569397","1.276370644569397","1.276370644569397"
"370","1.2671124935150146","1.2671124935150146","1.2671124935150146"
"376","1.2285575866699219","1.2285575866699219","1.2285575866699219"
"377","1.2140097618103027","1.2140097618103027","1.2140097618103027"
"378","1.206472635269165","1.206472635269165","1.206472635269165"
"379","1.1498966217041016","1.1498966217041016","1.1498966217041016"
"380","1.120173692703247","1.120173692703247","1.120173692703247"
"386","1.1684986352920532","1.1684986352920532","1.1684986352920532"
"387","1.0965802669525146","1.0965802669525146","1.0965802669525146"
"388","1.1254029273986816","1.1254029273986816","1.1254029273986816"
"389","1.049657940864563","1.049657940864563","1.049657940864563"
"390","1.03428053855896","1.03428053855896","1.03428053855896"
"396","1.1459932327270508","1.1459932327270508","1.1459932327270508"
"397","0.972619891166687","0.972619891166687","0.972619891166687"
"398","1.0292199850082397","1.0292199850082397","1.0292199850082397"
